NULL, this is a test, test passed ###################################################################3333
TREE,4376,25004
TREE,6201,25276
TREE,8403,25257
TREE,10869,25200
TREE,12849,25278
TREE,14699,25164
TREE,16972,24774
TREE,19418,24891
TREE,20641,25192
TREE,22619,25451
TREE,25555,25295
TREE,26839,25475
TREE,29603,24660
TREE,31059,25315
TREE,32910,24642
TREE,35152,25325
TREE,37229,24895
TREE,39791,25138
TREE,41154,25095
TREE,43802,24892
TREE,45565,24864
TREE,47124,24764
TREE,339,27004
TREE,2133,26945
TREE,4140,27526
TREE,6891,27170
TREE,9020,27209
TREE,10712,26802
TREE,12696,27422
TREE,14849,27147
TREE,16938,27160
TREE,19218,26626
TREE,20761,27194
TREE,23384,26925
TREE,25215,26735
TREE,26757,27483
TREE,29529,27107
TREE,31509,27312
TREE,33335,27640
TREE,35169,27145
TREE,37496,27590
TREE,39215,26647
TREE,41414,26772
TREE,43504,27237
TREE,45980,27097
TREE,47230,27135
TREE,604,28994
TREE,2452,29383
TREE,4798,29591
TREE,6470,29030
TREE,8774,29271
TREE,10933,29256
TREE,12344,29454
TREE,15254,29142
TREE,17386,29421
TREE,18684,28998
TREE,21319,29203
TREE,22565,29537
TREE,25047,29034
TREE,26787,29271
TREE,29496,29562
TREE,31714,28989
TREE,33028,29050
TREE,35702,29691
TREE,37450,29200
TREE,39862,28977
TREE,41162,29085
TREE,43050,29553
TREE,45941,28987
TREE,47338,29073
TREE,874,31246
TREE,2953,31591
TREE,4106,31662
TREE,6738,31640
TREE,8776,31360
TREE,10434,31039
TREE,13223,30822
TREE,14978,30837
TREE,16404,31408
TREE,18791,30784
TREE,20559,31020
TREE,23151,31346
TREE,25091,31113
TREE,27104,30870
TREE,28904,31328
TREE,30913,31406
TREE,33049,31622
TREE,35060,31613
TREE,37131,31231
TREE,39854,31220
TREE,41219,30898
TREE,43755,30743
TREE,45391,31405
TREE,48059,31129
TREE,770,33479
TREE,2775,33150
TREE,4568,32788
TREE,7017,33146
TREE,8623,33460
TREE,10293,32849
TREE,12820,33647
TREE,14930,33107
TREE,17295,33323
TREE,19399,33670
TREE,21049,33578
TREE,22657,32970
TREE,25408,32890
TREE,27204,33523
TREE,29665,33603
TREE,31204,33765
TREE,33448,32876
TREE,34928,33084
TREE,36899,33379
TREE,39539,33211
TREE,41118,33408
TREE,43397,32826
TREE,45337,33016
TREE,47971,32900
TREE,901,35460
TREE,2953,35614
TREE,4662,35295
TREE,7049,35320
TREE,8476,35014
TREE,10452,35123
TREE,12497,35677
TREE,14527,34909
TREE,17257,34881
TREE,18958,35127
TREE,20705,35196
TREE,22817,35535
TREE,25201,35775
TREE,27411,35244
TREE,28738,35708
TREE,31307,35733
TREE,33367,35206
TREE,35441,35061
TREE,37693,35315
TREE,39695,35513
TREE,41028,35644
TREE,43138,35621
TREE,45117,35496
TREE,48004,35059
TREE,12,37500
TREE,2262,36957
TREE,4913,37773
TREE,6788,37881
TREE,8479,37014
TREE,10895,37448
TREE,12713,37630
TREE,15330,36986
TREE,16740,37323
TREE,18757,37778
TREE,21288,37654
TREE,23114,37045
TREE,25563,37523
TREE,27349,37731
TREE,29416,37521
TREE,30919,37097
TREE,32782,37027
TREE,35342,37209
TREE,37173,37386
TREE,39837,36946
TREE,41603,37674
TREE,43835,37692
TREE,45879,37037
TREE,47820,37769
TREE,811,38957
TREE,2755,39648
TREE,4241,39095
TREE,6583,39610
TREE,9001,39440
TREE,10987,39232
TREE,12777,39495
TREE,14709,39914
TREE,16619,39664
TREE,19382,39766
TREE,20617,39660
TREE,23323,39334
TREE,24736,39807
TREE,27274,39486
TREE,29114,39837
TREE,30784,39917
TREE,33226,39650
TREE,35006,38994
TREE,37236,39653
TREE,39593,39662
TREE,41824,39608
TREE,43216,39900
TREE,45751,39704
TREE,47784,39480
TREE,711,41669
TREE,2067,41686
TREE,5073,41838
TREE,6514,41787
TREE,8976,41082
TREE,10738,41855
TREE,12690,41627
TREE,14365,41729
TREE,16769,41627
TREE,19094,41585
TREE,20550,41133
TREE,23499,41907
TREE,24865,41349
TREE,26748,41184
TREE,29574,41703
TREE,31458,41705
TREE,32871,41087
TREE,35682,41315
TREE,37870,41428
TREE,39589,41769
TREE,41051,41507
TREE,43436,41279
TREE,45117,41581
TREE,47402,41898
TREE,797,43600
TREE,2819,43096
TREE,4914,43360
TREE,6312,43082
TREE,8813,43555
TREE,10714,43937
TREE,12467,43186
TREE,14936,43771
TREE,17058,43918
TREE,19149,43309
TREE,20865,43769
TREE,23347,43572
TREE,25045,43874
TREE,27411,43850
TREE,28871,43758
TREE,31128,43822
TREE,33761,43993
TREE,34851,43541
TREE,37494,43416
TREE,39475,43994
TREE,41847,43705
TREE,44002,43480
TREE,45951,43531
TREE,47512,43313
TREE,740,45381
TREE,2267,45992
TREE,4478,45872
TREE,7158,45651
TREE,8444,45577
TREE,11094,45188
TREE,12985,46006
TREE,14554,45728
TREE,17066,45437
TREE,18983,45848
TREE,21296,45967
TREE,22624,45529
TREE,25559,45158
TREE,27178,45815
TREE,28933,45573
TREE,31444,45779
TREE,33288,46038
TREE,35180,45117
TREE,37813,45585
TREE,39846,45485
TREE,41265,45377
TREE,43739,45961
TREE,45086,45873
TREE,47313,45991
TREE,751,47865
TREE,2611,47751
TREE,4690,47956
TREE,6153,47709
TREE,8735,47446
TREE,10639,48011
TREE,12479,47410
TREE,14909,47672
TREE,16715,47120
TREE,19338,47607
TREE,21503,47422
TREE,23467,47447
TREE,24650,47361
TREE,27533,48089
TREE,29412,47289
TREE,31058,47668
TREE,33200,47715
TREE,35747,47248
TREE,37558,47654
TREE,38968,47622
TREE,41372,47624
TREE,43971,48009
TREE,45355,47676
ZOMBIE,10028,10028,0
ZOMBIE,10540,10028,1
ZOMBIE,11052,10028,2
ZOMBIE,11564,10028,3
ZOMBIE,12076,10028,4
ZOMBIE,12588,10028,5
ZOMBIE,13100,10028,6
ZOMBIE,13612,10028,7
SKELETON,10028,10540,8
SKELETON,10540,10540,9
SKELETON,11052,10540,10
SKELETON,11564,10540,11
SKELETON,12076,10540,12
SKELETON,12588,10540,13
SKELETON,13100,10540,14
SKELETON,13612,10540,15
SKELLY,10540,11564,16
SKELLY,11052,11564,17
SKELLY,11564,11564,18
SKELLY,12076,11564,19
SKELLY,12588,11564,20
SKELLY,13100,11564,21
SKELLY,13612,11564,22
SKELLY,10028,12076,23

